ngram,class
Program VariableDeclaration VariableDeclarator Identifier,1
VariableDeclarator Identifier Program VariableDeclaration,0
Program VariableDeclaration VariableDeclarator Literal,1
VariableDeclarator Literal Program TryStatement,1
Program TryStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression Identifier,0
AssignmentExpression Identifier Program TryStatement,1
Program TryStatement BlockStatement ExpressionStatement,1
BlockStatement ExpressionStatement AssignmentExpression CallExpression,0
AssignmentExpression CallExpression MemberExpression Identifier,1
MemberExpression Identifier Program TryStatement,1
Program TryStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression CallExpression,0
AssignmentExpression CallExpression MemberExpression Identifier,0
MemberExpression Identifier Program TryStatement,0
Program TryStatement CatchClause Identifier,0
CatchClause Identifier Program TryStatement,1
Program TryStatement CatchClause BlockStatement,1
CatchClause BlockStatement Program VariableDeclaration,0
Program VariableDeclaration VariableDeclarator Identifier,1
VariableDeclarator Identifier Program VariableDeclaration,0
Program VariableDeclaration VariableDeclarator Literal,1
VariableDeclarator Literal Program IfStatement,1
Program IfStatement Identifier Program,0
Identifier Program IfStatement BlockStatement,0
IfStatement BlockStatement VariableDeclaration VariableDeclarator,1
VariableDeclaration VariableDeclarator Identifier Program,1
Identifier Program IfStatement BlockStatement,0
IfStatement BlockStatement VariableDeclaration VariableDeclarator,1
VariableDeclaration VariableDeclarator CallExpression MemberExpression,1
CallExpression MemberExpression Identifier Program,1
Identifier Program IfStatement BlockStatement,0
IfStatement BlockStatement VariableDeclaration VariableDeclarator,0
VariableDeclaration VariableDeclarator CallExpression MemberExpression,1
CallExpression MemberExpression Identifier Program,0
Identifier Program IfStatement BlockStatement,0
IfStatement BlockStatement VariableDeclaration VariableDeclarator,0
VariableDeclaration VariableDeclarator CallExpression Literal,0
CallExpression Literal Program IfStatement,1
Program IfStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression Identifier,1
AssignmentExpression Identifier Program IfStatement,1
Program IfStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression CallExpression,1
AssignmentExpression CallExpression MemberExpression Identifier,1
MemberExpression Identifier Program IfStatement,1
Program IfStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression CallExpression,0
AssignmentExpression CallExpression MemberExpression Identifier,1
MemberExpression Identifier Program IfStatement,0
Program IfStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression CallExpression,0
AssignmentExpression CallExpression Literal Program,0
Literal Program IfStatement BlockStatement,1
IfStatement BlockStatement ExpressionStatement AssignmentExpression,0
ExpressionStatement AssignmentExpression CallExpression Identifier,1
CallExpression Identifier Program IfStatement,0
Program IfStatement BlockStatement ExpressionStatement,1
BlockStatement ExpressionStatement AssignmentExpression Identifier,1
AssignmentExpression Identifier Program IfStatement,1
Program IfStatement BlockStatement ExpressionStatement,0
BlockStatement ExpressionStatement AssignmentExpression BinaryExpression,0
AssignmentExpression BinaryExpression Identifier Program,1
Identifier Program IfStatement BlockStatement,0
IfStatement BlockStatement ExpressionStatement AssignmentExpression,0
ExpressionStatement AssignmentExpression BinaryExpression Literal,0
BinaryExpression Literal Program ExpressionStatement,0
Program ExpressionStatement CallExpression MemberExpression,1
CallExpression MemberExpression Identifier Program,0
Identifier Program ExpressionStatement CallExpression,1
ExpressionStatement CallExpression MemberExpression Identifier,0
MemberExpression Identifier Program ExpressionStatement,1
Program ExpressionStatement CallExpression CallExpression,1
CallExpression CallExpression Identifier Program,1
Identifier Program ExpressionStatement CallExpression,0
ExpressionStatement CallExpression CallExpression BinaryExpression,0
CallExpression BinaryExpression BinaryExpression Literal,1
BinaryExpression Literal Program ExpressionStatement,0
Program ExpressionStatement CallExpression CallExpression,0
CallExpression CallExpression BinaryExpression BinaryExpression,0
BinaryExpression BinaryExpression Identifier Program,0
Identifier Program ExpressionStatement CallExpression,1
ExpressionStatement CallExpression CallExpression BinaryExpression,0
CallExpression BinaryExpression Literal Program,1
Literal Program VariableDeclaration VariableDeclarator,0
VariableDeclaration VariableDeclarator Identifier Program,1
Identifier Program VariableDeclaration VariableDeclarator,1
VariableDeclaration VariableDeclarator NewExpression Identifier,1
NewExpression Identifier Program VariableDeclaration,0
Program VariableDeclaration VariableDeclarator Identifier,0
VariableDeclarator Identifier Program VariableDeclaration,1
Program VariableDeclaration VariableDeclarator CallExpression,0
